precinct,name,type,address
P02,Berger Park,Park,6205 North Sheridan Road
P06,Edgewater Historic Park,Park,"Chicago, IL 60660"
P08,Lane Beach Park,Park,5915 North Sheridan Road
P12,Cedar Playlot Park,Park,5311 North Winthrop Avenue
P13,Park No. 559,Park,6151 North Sheridan Road
P18,Interfaith Park,Park,5914 North Sheridan Road
P19,Bromann Park,Park,5400 North Broadway
P19,Cochran Playlot Park,Park,5550 North Magnolia Avenue
P24,Buttercup Park,Park,4901 North Sheridan Road
P24,Margate Park,Park,4921 North Marine Drive
P25,D'Elia Park,Park,6340 North Lakewood Avenue
