precinct,neighborhood,businesses_count,schools_count,religious_count,parks_count,gov_buildings_count,services_count,residential_buildings
P01,,78,0,2,0,0,2,298
P02,,5,4,0,2,0,0,6
P03,,76,2,2,0,0,0,42
P04,,65,2,0,0,0,6,51
P05,,16,0,4,0,0,0,2
P06,,110,0,0,2,0,0,55
P07,,96,8,6,0,0,0,221
P08,,12,0,0,2,0,0,9
P09,,14,0,0,0,0,0,2
P10,,209,0,0,0,2,0,235
P11,,14,0,2,0,0,0,257
P12,,54,2,2,2,0,0,101
P13,,10,0,0,2,0,0,7
P14,,6,0,0,0,0,0,36
P15,,30,0,2,0,0,0,47
P16,,72,2,0,0,0,0,63
P17,,10,0,0,0,0,0,1
P18,,15,0,0,2,0,0,62
P19,,102,2,4,4,0,0,178
P20,,2,0,0,0,0,0,1
P21,,268,2,0,0,2,0,144
P22,,0,0,0,0,0,0,1
P23,,14,0,0,0,0,0,9
P24,,24,0,0,4,0,0,39
P25,,85,2,0,2,0,0,207
P26,,11,0,0,0,0,0,2
P27,,67,24,2,0,0,0,50
P28,,35,0,2,0,0,0,191
P29,,14,0,0,0,0,0,1
P30,,63,0,2,0,2,0,232
P31,,28,0,0,0,0,0,155
P32,,81,0,2,0,2,2,48
P33,,8,0,2,0,0,0,2
P34,,91,10,2,0,0,0,219
P35,,37,8,4,0,0,0,276
