precinct,name,religion,denomination,address,phone,website,leader,leader_title,congregation_size,community_programs
P01,Bethany Evangelical Lutheran Church,Christian,,5942-5944 North Magnolia Avenue,,,,,,
P03,Edgewater Presbyterian Church,Christian,,1020 West Bryn Mawr Avenue,,,,,,
P05,Greek Orthodox Church and Community Center,Christian,,"Chicago, IL 60660",,,,,,
P05,Saint Andrew's Greek Orthodox Church,Christian,,5649 North Sheridan Road,(773) 334-4515,https://www.standreworthodox.church/,,,,
P07,Ancient of Days Cathedral,Christian,,5600 North Glenwood Avenue,,,,,,
P07,Edgewater Baptist Church,Christian,,1401-1405 West Hollywood Avenue,,,,,,
P07,Philadelphia Swedish Pentecostal Church,Christian,,5433-5439 North Clark Street,,,,,,
P11,North Shore Baptist Church,Christian,,5244 North Lakewood Avenue,,,,,,
P12,Epworth United Methodist Church,Christian,,5253 North Kenmore Avenue,,,,,,
P15,Church of the Atonement,Christian,,5751 North Kenmore Avenue,,,,,,
P19,Saint Ita's Roman Catholic Church,Christian,,5500 North Broadway,,,,,,
P19,Unity Lutheran Church,Christian,,5401 North Magnolia Avenue,,,,,,
P27,Ismaili Center,Muslim,,6259 North Broadway,,,,,,
P28,Northside United Pentecostal Church,Christian,,1527-1529 West Edgewater Avenue,,,,,,
P30,Granville Avenue United Methodist Church,Christian,,1307 West Granville Avenue,,,,,,
P32,Franciscan Friars,Other,,"Chicago, IL 60660",,http://franciscancommunity.com/,,,,
P33,Emanuel Congregation,Jewish,,5959 North Sheridan Road,,,,,,
P34,Saint Gertrude's Roman Catholic Church,Christian,,6200-6214 North Glenwood Avenue,,https://stgertrudechicago.org/home,,,,
P35,Immanuel Evangelical Lutheran Church,Christian,,1500 West Elmdale Avenue,,https://immanuellutheranchicago.org/,,,,
P35,Masjid e Noor,Muslim,,6151 North Greenview Avenue,,http://www.northsidemosque.org/noor-masjid-chicago/,,,,
