precinct,registered_voters,ballots_cast,turnout_pct
1,1318,722,54.78
2,499,231,46.29
3,997,363,36.41
4,998,493,49.4
5,433,286,66.05
6,1330,557,41.88
7,1088,552,50.74
8,849,347,40.87
9,626,229,36.58
10,1185,640,54.01
11,835,472,56.53
12,1445,594,41.11
13,1019,441,43.28
14,1313,501,38.16
15,966,393,40.68
16,843,347,41.16
17,378,162,42.86
18,1505,499,33.16
19,673,294,43.68
20,429,202,47.09
21,1625,556,34.22
22,619,308,49.76
23,821,449,54.69
24,1791,630,35.18
25,1156,600,51.9
26,654,288,44.04
27,1191,384,32.24
28,1011,448,44.31
29,381,252,66.14
30,948,534,56.33
31,961,516,53.69
32,1014,339,33.43
33,421,198,47.03
34,799,401,50.19
35,1115,657,58.92
